178,False,False,Kardeşler Unlu Mamülleri,[],/biz/karde%C5%9Fler-unlu-mam%C3%BClleri-adana-2?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2332677,,,,[],{},kardeşler-unlu-mamülleri-adana-2,
179,False,False,Akdeniz Ekmek Fırını,[],/biz/akdeniz-ekmek-f%C4%B1r%C4%B1n%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 6132185,,,,[],{},akdeniz-ekmek-fırını-adana,
180,False,False,Menekşe Pide Fırını,[],/biz/menek%C5%9Fe-pide-f%C4%B1r%C4%B1n%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2567316,,,,[],{},menekşe-pide-fırını-adana,
181,False,False,Kilim Pide ve Ekmek,[],/biz/kilim-pide-ve-ekmek-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 2396911,,,,[],{},kilim-pide-ve-ekmek-adana,
182,False,False,Ekin Pide Fırını ve Unlu Mamülleri,[],/biz/ekin-pide-f%C4%B1r%C4%B1n%C4%B1-ve-unlu-mam%C3%BClleri-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 2328449,,,,[],{},ekin-pide-fırını-ve-unlu-mamülleri-adana,
183,False,False,Yedi Kardeş Yufka,[],/biz/yedi-karde%C5%9F-yufka-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 3441122,,,,[],{},yedi-kardeş-yufka-adana,
184,False,False,Burak Yufka,[],/biz/burak-yufka-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 2349116,,,,[],{},burak-yufka-adana,
185,False,False,Enes Ekmekçilik,[],/biz/enes-ekmek%C3%A7ilik-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 2274386,,,,[],{},enes-ekmekçilik-adana,
186,False,False,Can Kardeşler Simit Dünyası,[],/biz/can-karde%C5%9Fler-simit-d%C3%BCnyas%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 4584242,,,,[],{},can-kardeşler-simit-dünyası-adana,
187,False,False,Tangüner Ekmek Fabrikası,[],/biz/tang%C3%BCner-ekmek-fabrikas%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 3461119,,,,[],{},tangüner-ekmek-fabrikası-adana,
188,False,False,İpek Yufka,[],/biz/ipek-yufka-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 4314926,,,,[],{},ipek-yufka-adana,
189,False,False,Alptekin Ekmekçilik ve Unlu Mamüller,[],/biz/alptekin-ekmek%C3%A7ilik-ve-unlu-mam%C3%BCller-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 4211255,,,,[],{},alptekin-ekmekçilik-ve-unlu-mamüller-adana,
190,False,False,Aslan Merkez Pide Fırını,[],/biz/aslan-merkez-pide-f%C4%B1r%C4%B1n%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 6125667,,,,[],{},aslan-merkez-pide-fırını-adana,
191,False,False,Ünal Ekmekçilik,[],/biz/%C3%BCnal-ekmek%C3%A7ilik-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 4363163,,,,[],{},ünal-ekmekçilik-adana,
192,False,False,Eminoğlu Pide,[],/biz/emino%C4%9Flu-pide-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2310383,,,,[],{},eminoğlu-pide-adana,
193,False,False,Karadeniz Ekmek,[],/biz/karadeniz-ekmek-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2272368,,,,[],{},karadeniz-ekmek-adana,
194,False,False,Saraç Pide Fırını,[],/biz/sara%C3%A7-pide-f%C4%B1r%C4%B1n%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 4360708,,,,[],{},saraç-pide-fırını-adana,
195,False,False,Yılmazlar Kardeşler Ekmek Fabrikası,[],/biz/y%C4%B1lmazlar-karde%C5%9Fler-ekmek-fabrikas%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 6123539,,,,[],{},yılmazlar-kardeşler-ekmek-fabrikası-adana,
196,False,False,Yeni Gelinkaya Unlu Mamülleri,[],/biz/yeni-gelinkaya-unlu-mam%C3%BClleri-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 3636317,,,,[],{},yeni-gelinkaya-unlu-mamülleri-adana,
197,False,False,Akanoğlu Fırın,[],/biz/akano%C4%9Flu-f%C4%B1r%C4%B1n-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2610446,,,,[],{},akanoğlu-fırın-adana,
198,False,False,Kardeşler Unlu Mamülleri,[],/biz/karde%C5%9Fler-unlu-mam%C3%BClleri-adana-16?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2390136,,,,[],{},kardeşler-unlu-mamülleri-adana-16,
199,False,False,Çınaraltı Unlu Mamülleri,[],/biz/%C3%A7%C4%B1naralt%C4%B1-unlu-mam%C3%BClleri-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2615808,,,,[],{},çınaraltı-unlu-mamülleri-adana,
200,False,False,Abacı Pide Fırını,[],/biz/abac%C4%B1-pide-f%C4%B1r%C4%B1n%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 3341382,,,,[],{},abacı-pide-fırını-adana,
