91,False,False,Bäckerei Paul Fuhr,[],/biz/b%C3%A4ckerei-paul-fuhr-diez?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Hadamar%2C+Hessen'}]",,0,False,0,,[],06432 507546,,,,[],{},bäckerei-paul-fuhr-diez,http://www.baeckerei-fuhr.de
92,False,False,Bäckerei Paul Fuhr,[],/biz/b%C3%A4ckerei-paul-fuhr-limburg?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Hadamar%2C+Hessen'}]",,0,False,0,,[],06431 779667,,,,[],{},bäckerei-paul-fuhr-limburg,http://www.baeckerei-fuhr.de
93,False,False,Paul Fuhr,[],/biz/paul-fuhr-limburg-2?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Hadamar%2C+Hessen'}]",,0,False,0,,[],06431 44851,,,,[],{},paul-fuhr-limburg-2,
94,False,False,Backhaus Friedrich,[],/biz/backhaus-friedrich-g%C3%BCckingen?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Hadamar%2C+Hessen'}]",,0,False,0,,[],06432 920925,,,,[],{},backhaus-friedrich-gückingen,
95,False,False,Bäckerei Hill,[],/biz/b%C3%A4ckerei-hill-wallmerod?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Hadamar%2C+Hessen'}]",,0,False,0,,[],06435 543773,,,,[],{},bäckerei-hill-wallmerod,
96,False,False,Yasar Hosel,[],/biz/yasar-hosel-dreikirchen?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Hadamar%2C+Hessen'}]",,0,False,0,,[],06435 1317,,,,[],{},yasar-hosel-dreikirchen,
97,False,False,Andreas Reichwein,[],/biz/andreas-reichwein-dornburg?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Hadamar%2C+Hessen'}]",,0,False,0,,[],06436 7239,,,,[],{},andreas-reichwein-dornburg,
98,False,False,Dietmar Rose,[],/biz/dietmar-rose-dornburg?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Hadamar%2C+Hessen'}]",,0,False,0,,[],06436 911385,,,,[],{},dietmar-rose-dornburg,
99,False,False,J. Schäfer,[],/biz/j-sch%C3%A4fer-dornburg?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Hadamar%2C+Hessen'}]",,0,False,0,,[],06436 6471,,,,[],{},j-schäfer-dornburg,
100,False,False,Udo Schönberger,[],/biz/udo-sch%C3%B6nberger-salz?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Hadamar%2C+Hessen'}]",,0,False,0,,[],06435 1293,,,,[],{},udo-schönberger-salz,
